date,category,title,amount
2024-03-29,serviços,Conta Vivo,493.86
2024-03-27,casa,Bretas,19.92
2024-03-26,supermercado,D Ville Supermercados,73.66
2024-03-25,outros,Mercadolivre*Paulocez,91.64
2024-03-25,subscription_fee,Rewards - Assinatura,19.00
2024-03-24,serviços,Orelo *Orelobr*Doaca,13.00
2024-03-23,serviços,Ebn*Spotify,27.90
2024-03-23,serviços,Ppro *Microsoft,45.00
2024-03-23,lazer,Mp *Hbomaxassin,24.43
2024-03-22,restaurante,Ifd*Esquina do Espetin,118.99
2024-03-22,supermercado,Pag*Distribuidorado,18.00
2024-03-21,serviços,Netflix.Com,55.90
2024-03-21,eletrônicos,Amazon Marketplace,139.90
2024-03-21,serviços,Produtos Globo,59.90
2024-03-20,serviços,Google Microsoft,9.00
2024-03-20,casa,Bretas,43.60
2024-03-19,restaurante,Ifd*Arcos Dourados Com,67.69
2024-03-19,reversal_upfront_national_settled,Estorno de "Ifd*Bauhaus Burguer Ei",-48.00
2024-03-19,supermercado,Ifd*Bauhaus Burguer Ei,151.79
2024-03-18,supermercado,Ifd*Ricardo Araujo Cos,55.99
2024-03-17,restaurante,Ifd*Gr Alves Costa Pan,88.70
2024-03-17,outros,Ebn*Adobe,95.00
2024-03-16,supermercado,Pag*Distribuidorado,18.00
2024-03-16,serviços,Google Storage,119.90
2024-03-13,eletrônicos,Openai,51.81
2024-03-13,educação,Bazar *Horizonte,416.19
2024-03-13,educação,Mercadolivre*Beco14,57.91
2024-03-13,outros,Mp *Mercadopagoin,13.93
2024-03-13,outros,Mp *Nvainternetcomerc,164.40
2024-03-13,tax_foreign,IOF de "Openai",2.27
2024-03-13,serviços,Dl *Sheincom,104.60
2024-03-11,restaurante,Ifd*Burger Club,76.80
2024-03-11,serviços,Google Storage,7.99
2024-03-10,restaurante,Doces Barbaros,359.00
2024-03-10,lazer,Ifd*Diego Cosmo de Oli,76.00
2024-03-10,educação,Google Youtube Member,39.99
2024-03-10,casa,Sup Maxi Tubalina,593.55
2024-03-08,outros,Mp *Melimais,17.99
2024-03-07,serviços,Microsoft*Subscription,49.99
2024-03-07,saúde,Mercadolivre*Capellib,101.32
2024-03-07,restaurante,Ifd*Ifood,13.90
2024-03-07,serviços,Mercadolivre*4produto,333.11
2024-03-07,supermercado,Ifd*51.931.299 Carolin,62.58
2024-03-05,loan_revolving_interest,Estorno de juros de rotativo,-19.55
2024-03-05,payment,Pagamento recebido,-10902.78
2024-03-02,supermercado,Lojas G 3/3,416.16
2024-03-02,outros,Pag*Aafiltrolar 3/3,383.33
2024-03-02,eletrônicos,Magalu *Magazineluiza 3/6,288.49
2024-03-02,viagem,Localiza Rac Acudi0 2/3,1354.76
2024-03-02,supermercado,Lojas G 3/3,398.12
2024-03-02,eletrônicos,Magalu Fl 3/6,356.20
