date,description,amount,account_name,transaction_type,id
2024-04-02,PIX TRANSF  L A FER02/04,-700.0,itau,debit,0
2024-04-02,TAR PACOTE ITAU   MAR/24,-79.0,itau,debit,1
2024-04-04,PIX QRS ITAU UNIBAN04/04,-2886.33,itau,debit,2
2024-04-08,CARTAO TUDOAZUL MC,-4299.26,itau,debit,3
2024-04-08,DA  ALGAR TELECOM  02123,-164.78,itau,debit,4
2024-04-08,ITAU MC        PAO DE AC,-591.21,itau,debit,5
2024-04-08,ITAU MC       4903-9245,-4005.17,itau,debit,6
2024-04-10,PIX TRANSF  PAULO H10/04,-750.0,itau,debit,7
2024-04-10,ITAU VISA     0603-0154,-1792.89,itau,debit,8
2024-04-12,PIX TRANSF  FORCA T12/04,-180.0,itau,debit,9
2024-04-12,PIX TRANSF  VERA LU12/04,-650.0,itau,debit,10
2024-04-12,PIX QRS CEMIG DISTR12/04,-314.24,itau,debit,11
2024-04-15,PIX TRANSF  ART DES14/04,-350.0,itau,debit,12
2024-04-18,PIX TRANSF  VICTOR 18/04,-520.0,itau,debit,13
2024-04-18,PIX TRANSF  NINA BA18/04,-520.0,itau,debit,14
2024-04-19,PIX TRANSF  MAYCON 19/04,-600.0,itau,debit,15
2024-04-22,PIX TRANSF KAYC FL20/04,-127.0,itau,debit,16
2024-04-22,PIX TRANSF PATRICI20/04,-370.0,itau,debit,17
2024-04-22,PIX TRANSF KAYC FL20/04,-220.0,itau,debit,18
2024-04-23,PIX TRANSF DANIELA23/04,-500.0,itau,debit,19
2024-04-24,PIX TRANSF ETERNO 24/04,-45.0,itau,debit,20
2024-04-24,PIX TRANSF PEDRO H24/04,-470.0,itau,debit,21
